Team 1,Team 2,Winner,Margin,Ground,Match Date,,,,,,
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,3-Jan-19,,,,,,
New Zealand,Sri Lanka,New Zealand,21 runs,Mount Maunganui,5-Jan-19,,,,,,
New Zealand,Sri Lanka,New Zealand,115 runs,Nelson,8-Jan-19,,,,,,
Australia,India,Australia,34 runs,Sydney,12-Jan-19,,,,,,
Australia,India,India,6 wickets,Adelaide,15-Jan-19,,,,,,
Australia,India,India,7 wickets,Melbourne,18-Jan-19,,,,,,
South Africa,Pakistan,Pakistan,5 wickets,Port Elizabeth,19-Jan-19,,,,,,
South Africa,Pakistan,South Africa,5 wickets,Durban,22-Jan-19,,,,,,
New Zealand,India,India,8 wickets,Napier,23-Jan-19,,,,,,
U.A.E.,Nepal,U.A.E.,3 wickets,ICCA Dubai,25-Jan-19,,,,,,
South Africa,Pakistan,South Africa,13 runs,Centurion,25-Jan-19,,,,,,
New Zealand,India,India,90 runs,Mount Maunganui,26-Jan-19,,,,,,
U.A.E.,Nepal,Nepal,145 runs,ICCA Dubai,26-Jan-19,,,,,,
South Africa,Pakistan,Pakistan,8 wickets,Johannesburg,27-Jan-19,,,,,,
New Zealand,India,India,7 wickets,Mount Maunganui,28-Jan-19,,,,,,
U.A.E.,Nepal,Nepal,4 wickets,ICCA Dubai,28-Jan-19,,,,,,
South Africa,Pakistan,South Africa,7 wickets,Cape Town,30-Jan-19,,,,,,
New Zealand,India,New Zealand,8 wickets,Hamilton,31-Jan-19,,,,,,
New Zealand,India,India,35 runs,Wellington,3-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,8 wickets,Napier,13-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,8 wickets,Christchurch,16-Feb-19,,,,,,
New Zealand,Bangladesh,New Zealand,88 runs,Dunedin,20-Feb-19,,,,,,
West Indies,England,England,6 wickets,Bridgetown,20-Feb-19,,,,,,
West Indies,England,West Indies,26 runs,Bridgetown,22-Feb-19,,,,,,
West Indies,England,no result,,St George's,25-Feb-19,,,,,,
West Indies,England,England,29 runs,St George's,27-Feb-19,,,,,,
Afghanistan,Ireland,Afghanistan,5 wickets,Dehradun,28-Feb-19,,,,,,
Afghanistan,Ireland,no result,,Dehradun,2-Mar-19,,,,,,
India,Australia,India,6 wickets,Hyderabad (Deccan),2-Mar-19,,,,,,
West Indies,England,West Indies,7 wickets,Gros Islet,2-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,8 wickets,Johannesburg,3-Mar-19,,,,,,
Afghanistan,Ireland,Ireland,4 wickets,Dehradun,5-Mar-19,,,,,,
India,Australia,India,8 runs,Nagpur,5-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,113 runs,Centurion,6-Mar-19,,,,,,
Afghanistan,Ireland,Afghanistan,109 runs,Dehradun,8-Mar-19,,,,,,
India,Australia,Australia,32 runs,Ranchi,8-Mar-19,,,,,,
Afghanistan,Ireland,Ireland,5 wickets,Dehradun,10-Mar-19,,,,,,
India,Australia,Australia,4 wickets,Mohali,10-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,71 runs,Durban,10-Mar-19,,,,,,
India,Australia,Australia,35 runs,Delhi,13-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,6 wickets,Port Elizabeth,13-Mar-19,,,,,,
South Africa,Sri Lanka,South Africa,41 runs,Cape Town,16-Mar-19,,,,,,
Australia,Pakistan,Australia,8 wickets,Sharjah,22-Mar-19,,,,,,
Australia,Pakistan,Australia,8 wickets,Sharjah,24-Mar-19,,,,,,
Australia,Pakistan,Australia,80 runs,Abu Dhabi,27-Mar-19,,,,,,
Australia,Pakistan,Australia,6 runs,Dubai (DSC),29-Mar-19,,,,,,
Australia,Pakistan,Australia,20 runs,Dubai (DSC),31-Mar-19,,,,,,
Zimbabwe,U.A.E.,Zimbabwe,7 wickets,Harare,10-Apr-19,,,,,,
Zimbabwe,U.A.E.,Zimbabwe,4 runs,Harare,12-Apr-19,,,,,,
Zimbabwe,U.A.E.,Zimbabwe,131 runs,Harare,14-Apr-19,,,,,,
Zimbabwe,U.A.E.,Zimbabwe,3 wickets,Harare,16-Apr-19,,,,,,
Namibia,Oman,Namibia,145 runs,Windhoek,27-Apr-19,,,,,,
P.N.G.,U.S.A.,P.N.G.,5 wickets,Windhoek,27-Apr-19,,,,,,
Ireland,England,England,4 wickets,Dublin (Malahide),3-May-19,,,,,,
Ireland,West Indies,West Indies,196 runs,Dublin,5-May-19,,,,,,
Bangladesh,West Indies,Bangladesh,8 wickets,Dublin,7-May-19,,,,,,
England,Pakistan,no result,,The Oval,8-May-19,,,,,,
Scotland,Afghanistan,Afghanistan,2 runs,Edinburgh,10-May-19,,,,,,
Ireland,West Indies,West Indies,5 wickets,Dublin (Malahide),11-May-19,,,,,,
England,Pakistan,England,12 runs,Southampton,11-May-19,,,,,,
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),13-May-19,,,,,,
England,Pakistan,England,6 wickets,Bristol,14-May-19,,,,,,
Ireland,Bangladesh,Bangladesh,6 wickets,Dublin,15-May-19,,,,,,
Bangladesh,West Indies,Bangladesh,5 wickets,Dublin (Malahide),17-May-19,,,,,,
England,Pakistan,England,3 wickets,Nottingham,17-May-19,,,,,,
Ireland,Afghanistan,Ireland,72 runs,Belfast,19-May-19,,,,,,
England,Pakistan,England,54 runs,Leeds,19-May-19,,,,,,
Ireland,Afghanistan,Afghanistan,126 runs,Belfast,21-May-19,,,,,,
Scotland,Sri Lanka,Sri Lanka,35 runs,Edinburgh,21-May-19,,,,,,
England,South Africa,England,104 runs,The Oval,30-May-19,,,,,,
Pakistan,West Indies,West Indies,7 wickets,Nottingham,31-May-19,,,,,,
New Zealand,Sri Lanka,New Zealand,10 wickets,Cardiff,1-Jun-19,,,,,,
Afghanistan,Australia,Australia,7 wickets,Bristol,1-Jun-19,,,,,,
Bangladesh,South Africa,Bangladesh,21 runs,The Oval,2-Jun-19,,,,,,
England,Pakistan,Pakistan,14 runs,Nottingham,3-Jun-19,,,,,,
Afghanistan,Sri Lanka,Sri Lanka,34 runs,Cardiff,4-Jun-19,,,,,,
India,South Africa,India,6 wickets,Southampton,5-Jun-19,,,,,,
Bangladesh,New Zealand,New Zealand,2 wickets,The Oval,5-Jun-19,,,,,,
Australia,West Indies,Australia,15 runs,Nottingham,6-Jun-19,,,,,,
England,Bangladesh,England,106 runs,Cardiff,8-Jun-19,,,,,,
Afghanistan,New Zealand,New Zealand,7 wickets,Taunton,8-Jun-19,,,,,,
Australia,India,India,36 runs,The Oval,9-Jun-19,,,,,,
South Africa,West Indies,no result,,Southampton,10-Jun-19,,,,,,
Australia,Pakistan,Australia,41 runs,Taunton,12-Jun-19,,,,,,
England,West Indies,England,8 wickets,Southampton,14-Jun-19,,,,,,
Australia,Sri Lanka,Australia,87 runs,The Oval,15-Jun-19,,,,,,
Afghanistan,South Africa,South Africa,9 wickets,Cardiff,15-Jun-19,,,,,,
India,Pakistan,India,89 runs,Manchester,16-Jun-19,,,,,,
Bangladesh,West Indies,Bangladesh,7 wickets,Taunton,17-Jun-19,,,,,,
England,Afghanistan,England,150 runs,Manchester,18-Jun-19,,,,,,
Netherlands,Zimbabwe,Netherlands,7 wickets,Deventer,19-Jun-19,,,,,,
New Zealand,South Africa,New Zealand,4 wickets,Birmingham,19-Jun-19,,,,,,
Australia,Bangladesh,Australia,48 runs,Nottingham,20-Jun-19,,,,,,
Netherlands,Zimbabwe,Netherlands,3 wickets,Deventer,21-Jun-19,,,,,,
England,Sri Lanka,Sri Lanka,20 runs,Leeds,21-Jun-19,,,,,,
Afghanistan,India,India,11 runs,Southampton,22-Jun-19,,,,,,
New Zealand,West Indies,New Zealand,5 runs,Manchester,22-Jun-19,,,,,,
Pakistan,South Africa,Pakistan,49 runs,Lord's,23-Jun-19,,,,,,
Afghanistan,Bangladesh,Bangladesh,62 runs,Southampton,24-Jun-19,,,,,,
England,Australia,Australia,64 runs,Lord's,25-Jun-19,,,,,,
New Zealand,Pakistan,Pakistan,6 wickets,Birmingham,26-Jun-19,,,,,,
India,West Indies,India,125 runs,Manchester,27-Jun-19,,,,,,
South Africa,Sri Lanka,South Africa,9 wickets,Chester-le-Street,28-Jun-19,,,,,,
Afghanistan,Pakistan,Pakistan,3 wickets,Leeds,29-Jun-19,,,,,,
Australia,New Zealand,Australia,86 runs,Lord's,29-Jun-19,,,,,,
England,India,England,31 runs,Birmingham,30-Jun-19,,,,,,
Sri Lanka,West Indies,Sri Lanka,23 runs,Chester-le-Street,1-Jul-19,,,,,,
Ireland,Zimbabwe,Ireland,4 wickets,Bready,1-Jul-19,,,,,,
Bangladesh,India,India,28 runs,Birmingham,2-Jul-19,,,,,,
England,New Zealand,England,119 runs,Chester-le-Street,3-Jul-19,,,,,,
Afghanistan,West Indies,West Indies,23 runs,Leeds,4-Jul-19,,,,,,
Ireland,Zimbabwe,Ireland,5 runs,Belfast,4-Jul-19,,,,,,
Bangladesh,Pakistan,Pakistan,94 runs,Lord's,5-Jul-19,,,,,,
India,Sri Lanka,India,7 wickets,Leeds,6-Jul-19,,,,,,
Australia,South Africa,South Africa,10 runs,Manchester,6-Jul-19,,,,,,
Ireland,Zimbabwe,Ireland,6 wickets,Belfast,7-Jul-19,,,,,,
India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",,,,,,
England,Australia,England,8 wickets,Birmingham,11-Jul-19,,,,,,
England,New Zealand,tied,,Lord's,14-Jul-19,,,,,,
Sri Lanka,Bangladesh,Sri Lanka,91 runs,Colombo (RPS),26-Jul-19,,,,,,
Sri Lanka,Bangladesh,Sri Lanka,7 wickets,Colombo (RPS),28-Jul-19,,,,,,
Sri Lanka,Bangladesh,Sri Lanka,122 runs,Colombo (RPS),31-Jul-19,,,,,,
West Indies,India,no result,,Providence,8-Aug-19,,,,,,
West Indies,India,India,59 runs,Port of Spain,11-Aug-19,,,,,,
Oman,P.N.G.,Oman,4 wickets,Aberdeen,14-Aug-19,,,,,,
West Indies,India,India,6 wickets,Port of Spain,14-Aug-19,,,,,,
Scotland,Oman,Oman,8 wickets,Aberdeen,15-Aug-19,,,,,,
Scotland,P.N.G.,Scotland,3 wickets,Aberdeen,17-Aug-19,,,,,,
Scotland,Oman,Scotland,85 runs,Aberdeen,18-Aug-19,,,,,,
Scotland,P.N.G.,Scotland,38 runs,Aberdeen,20-Aug-19,,,,,,
Oman,P.N.G.,Oman,4 wickets,Aberdeen,21-Aug-19,,,,,,
U.S.A.,P.N.G.,U.S.A.,5 runs,Lauderhill,13-Sep-19,,,,,,
U.S.A.,Namibia,U.S.A.,5 wickets,Lauderhill,17-Sep-19,,,,,,
U.S.A.,P.N.G.,U.S.A.,62 runs,Lauderhill,19-Sep-19,,,,,,
U.S.A.,Namibia,Namibia,139 runs,Lauderhill,20-Sep-19,,,,,,
Namibia,P.N.G.,Namibia,4 wickets,Lauderhill,22-Sep-19,,,,,,
Namibia,P.N.G.,Namibia,27 runs,Lauderhill,23-Sep-19,,,,,,
Pakistan,Sri Lanka,Pakistan,67 runs,Karachi,30-Sep-19,,,,,,
Pakistan,Sri Lanka,Pakistan,5 wickets,Karachi,2-Oct-19,,,,,,
Afghanistan,West Indies,West Indies,7 wickets,Lucknow,6-Nov-19,,,,,,
Afghanistan,West Indies,West Indies,47 runs,Lucknow,9-Nov-19,,,,,,
Afghanistan,West Indies,West Indies,5 wickets,Lucknow,11-Nov-19,,,,,,
U.A.E.,U.S.A.,U.S.A.,3 wickets,Sharjah,8-Dec-19,,,,,,
Scotland,U.S.A.,U.S.A.,35 runs,Sharjah,9-Dec-19,,,,,,
U.A.E.,U.S.A.,U.S.A.,98 runs,ICCA Dubai,12-Dec-19,,,,,,
Scotland,U.S.A.,Scotland,4 wickets,ICCA Dubai,14-Dec-19,,,,,,
U.A.E.,Scotland,U.A.E.,7 wickets,ICCA Dubai,15-Dec-19,,,,,,
India,West Indies,West Indies,8 wickets,Chennai,15-Dec-19,,,,,,
India,West Indies,India,107 runs,Visakhapatnam,18-Dec-19,,,,,,
India,West Indies,India,4 wickets,Cuttack,22-Dec-19,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
